,Song title,Song author,Genre
956,Big Shot!!,Johnny's West,
975,Save Rock And Roll,Fall Out Boy & Elton John,
976,44Raiders,Ballistik Boyz,
1013,Shining Star,# Hashtag,
1014,Heart Beat,Hi-Five,
1015,Dreamers,Generations From Exile Tribe,
1016,The Greatest,Lana Del Rey,
1033,Feel Special,Twice,
1036,Brave,Arashi,
1053,Rocket Queen,Team Shachi,
1055,Kodou,Touken Danshi Formation Of Mihotose,
1056,Seishun Train,Last Idol,J-Pop
1075,Sora No Aosa Wo Shiru Hito Yo,Aimyon,
1091,I Don't Care,Ed Sheeran & Justin Bieber,Pop
1093,Bad Guy,Billie Eilish,Alternative
1116,Koi-Wazurai,King & Prince,
1132,Hypnosismic (Division Battle Anthem),Division All Stars,
1134,No Doubt,Official Hige Dandism,
1142,Marigold,Aimyon,
1144,Paprika,Foorin,
1145,Escape,Airi Suzuki,
1150,Shukumei,Official Hige Dandism,
1152,Lemon,Kenshi Yonezu,J-Pop
1154,Reboot,Miwa,
1166,Hakujitsu,King Gnu,Alternative
1167,Machigai Sagashi,Masaki Suda,
1171,Ai Ni Dekiru Koto Ha Mada Arukai?,Radwimps,
1172,Hikoutei,King Gnu,Alternative
1176,Wasurerarenaino,Sakanaction,
1177,Love Me Right (Romantic Universe),EXO,Pop
1178,Hello,Adele,Pop
1179,Kiss,MACO,
1180,Hello,Da-iCE,
1181,Beautiful,Superfly,
1182,Hotline Bling,Drake,Hip-Hop/Rap
1183,Star Train,Perfume,Electronic
1184,"Ima, Hanashitai Dareka Ga Iru",Nogizaka 46,
1185,Laugh Laugh Laugh,GOT7,K-Pop
1186,Oretachi Rookies,DISH,
1187,One Light,Kalafina,
1188,Burnitup!,Janet Jackson & Missy Elliott,
1189,Christmas Song,Back Number,
1190,Must Be Now,NMB48,J-Pop
1191,With You,JUJU,
1192,"No Verao, As Noites",Sheena Ringo,
1193,Not Enough,Anan Ryoko,
1194,SOS,Sekai No Owari,
1195,Kimi No Kokoro Ha Kagayaiterukai?,Aqours,
1196,Bodyache,Purity Ring,Electronic
1206,Anti-hero,Sekai No Owari,
1212,Kazoku Ni Narouyo,Masaharu Fukuyama,
1213,Revolution,Crystal Kay,
1216,Heart To Heart!,M'S,
1245,A Long And Short Festival,Sheena Ringo,
1249,What Do You Mean?,Justin Bieber,Pop
1253,Yozora,Miwa,
1269,Ne Vardia,Negicco,
1270,Tegami,Back Number,
1274,Lonely Summer Days,PrizmaX,
1288,Summer Madness,J Soul Brothers,
1291,Everybody,Da-iCE,
1294,Mune Kyun,AOA,
1310,Dress Wo Nuida Cinderella,Dream Ami,J-Pop
1314,Answer Is Near,One OK Rock,
1327,We Wanna,"Alexandra Stan, Inna & Daddy Yankee",
1332,Summer Time Love,Shiggy Jr.,J-Pop
1333,Bari Hapi,Johnny's West,
1354,Die For You,Aldious,
1355,Maenomeri,SKE48,
1356,Nagaku Mijikai Matsuri,Ringo Shiina,
1391,Sun,Gen Hoshino,
1393,I Won't Turn Off My Radio,Ken Yokoyama,Rock
1416,Love Train,GOT7,
1432,Playback,JUJU,
1446,Brave Shine,Aimer,J-Pop
1448,Dreams,Beck,
1449,Dreaming,Smallpools,Alternative
1453,See You Again,Wiz Khalifa & Charlie Puth,
1455,Gate Sore Ha Akatsuki No Youni,Kishida Kyodan,
1466,Summer Time,Tube,
1471,Shut Up And Dance,Walk The Moon,
1474,Evolution Eve,Quartet Night,
1488,Anniversary!!,E-Girls,
1494,Omotesando,Ciao Bella Cinquetti,
1495,Sister,Back Number,
1512,Watashi Igai Watashi Ja Nai No,Gesu no Kiwami Otome,
1522,Bokutachi Ha Tatakawanai,AKB48,
1533,Suisai No Tsuki,Motohiro Hata,
1543,"Hello, World!",Bump Of Chicken,
1545,Tsuyoku Tsuyoku Tsuyoku,Kan Jani Eight,
1549,My Instant Song,Monoeyes,
1555,Kimi Ga Ita Kara,Crystal Kay,J-Pop
1570,Memories,GRANRODEO,
1574,Sugar Song To Bitter Step,UNISON SQUARE GARDEN,J-Pop
1576,Never...,Reiji Kotobuki,
1592,Love,MACO,
1593,Red,B'z ,
1613,Sugar,Maroon 5,Pop
1629,Boku No Kotoba Dewa Nai Koreha Bokutachi No Kotoba,Uverworld,
1630,Moshimo Unmei No Hito Ga Iru No Nara,Kana Nishino,
1632,Mikan,Mr Children,
1637,Ecstasy,Kumi Koda,
1638,Tanabata Matsuri,Tegomass,
1639,Ego,Beyonce Knowles,
1640,Namida Surprise,AKB48,Kayokyoku
1641,Kaizokusen,Yusuke,J-Pop
1642,My Heaven,Big Bang,
1643,Boom Boom Pow,Black Eyed Peas,Pop
1644,I Am Xxx,Glay,
1645,Again,Yui,
1646,New Divide,Linkin Park,
1647,Keshin,Masaharu Fukuyama,J-Pop
1648,Waking Up In Vegas,Katy Perry,Pop
1649,21 Guns,Green Day,Alternative
1650,Thriller,Michael Jackson,Pop
1651,Baby Smile,Sophia,
1652,Seishun Bus Guide,Berryz Kobo,
1653,Tomorrow's Chance,Minori Chihara,Anime
1654,Sha La La,Hideaki Takizawa,
1655,Dirty Diana,Michael Jackson,Pop
1656,Billie Jean,Michael Jackson,Pop
1693,Don't Stop 'Til You Get Enough,Michael Jackson,Pop
1712,Ariamaru Tomi,Ringo Shiina,
1714,Sweet Dreams,Beyonce Knowles,
1723,Ashita No Kioku,Arashi,
1725,Sunao Ni Ienakute,Zard,
1726,Haruka,GReeeeN,Pop
1733,Fuwafuwa Time,Sakurakou K-on Bu,
1751,Halo,Beyonce Knowles,
1752,Share The World,Tohoshinki,
1754,Ashita Ga Kurunara,JUJU,
1756,Koi No Abo,News,
1770,Dead Memories,Slipknot,Metal
1772,Bonkers,Dizzee Rascal & Armand Van Helden,Dance
1794,Sugar,Flo Rida,
1796,"Namida No Tane, Egao No Hana",Syouko Nakagawa,
1806,Boyfriend #2,Pleasure P,
1808,Empty sky,Takashi Yukari,
1811,Don't Say Glazy,Sakurakou K-on Bu,
1812,Bye Bye Bye,C-ute,
1814,Banzai,Kaela Kimura,
1827,Uso,SID,
1829,Cagayake Girls,Sakurakou K-on Bu,
1833,Magnificent,U2,Rock
1834,Rainbow,Cobb Black,
1836,The Monster,Exile,
1865,Poker Face,Lady Gaga,Pop
1871,Looks You Gods,Base Ball Bear,
1876,My Loneliness,Firewind,Metal
1886,Flowers To You,Et-king,
1887,Thank You,Dew,
1888,Day 'N Nite,Kid Cudi,Hip-Hop/Rap
1889,Baby I'm A Fool,Melody Gardot,Jazz
1891,We Made You,Eminem,Hip-Hop/Rap
1892,Right Round,Flo Rida,Hip-Hop/Rap
1893,Aitai,Yuzu,
1896,Seeds Of Dream,Girl Next Door,
1903,"After Cloudy, Sunny",Yano Kenta & Satoshi Ohno,
1904,River Of Eternity,Alan,
1905,It's All Love,Koda Kumi,
1906,Bambino,Breakerz,
1907,Love Story (Taylor's Version),Taylor Swift,Country
1908,Journey Through The Decade,Gackt,
1911,Sandglass,Tokunaga Hideaki,
1913,Metro,Tacica,
1914,Sugar,Fujifaburikku,
1915,Sakura,Yajima Beauty Salon,
1916,I'm Fine,Ai Kawashima,
1930,Wild,Amuro Namie,
1931,My Youth,Air Band,
1932,Disco Studio,Perfume,
1933,Puzzle,Mai Kuraki,
1935,Rescue,Kat-tun,
1936,Come Back To Me,Utada Hikaru,
1939,Let's Chew,Akb Idling,
1943,Spring And The Storm,Masayoshi Yamazaki,
1946,Distress And Coma,Gazette,
1950,I Got,Tortoise Matsumoto,
1951,Moment,GReeeeN,
1952,Sakura,Remioromen,
1953,Good Bye My School Days,Dreams Come True,J-Pop
1955,Get On Your Boots,U2,Dance
1956,Maiden's Prayer,Mano Eri Mustard,
1963,Hisui Red Light,Angelo,
1970,Yakashama,Radwimps,
1974,My Sky,Juku Man Rot,
1975,My Sunshine,Rock'a'trench,
1976,1sec.,10-feet,
1982,Tane,Keanu North,
1985,I Gotta Kick Start Now,Vamps,
1986,Blue,Kreva,
1992,Kizuna,Erefantokashimashi,
1993,And Say Goodbye,Kazumasa Oda,
1995,Say Your Dream,Glay,
1996,Answer In The World,Toshihide Baba,
2004,Survivor,TVXQ,
2006,Cafe Wonderland,Ryu Si-won,
2008,Kishime Kishime,Berryz Kobo,
2011,Graduation,Tsuyoshi Nagabuti,
2013,Rule,Ayumi Hamasaki,
2014,Rendezvous,Yuki,
2015,Trust You,Yuna Ito,J-Pop
2016,Cherry Blossom Road,Kyushu Man,
2021,Deeper,Ken,
2024,Sakura 10 Years,AKB48,
2025,Stay Gold,Aqua Timez,
2029,I Hold Dear,Kou Shibasaki,
2030,Wish Upon A Star,Flumpool,
2032,Milk,Aiko,
2033,Omen,Prodigy,
2034,Generation,J Soul Brothers,
2035,It's Best Friend,Shonan,
2036,One More Time On The Merry-go-round,Wouter Hamel,Pop
2043,Strength,Abingdon Boys School,
2045,You Do Not Cry,Aska,
2046,Piece,Yui Aragaki,
2047,Bye,Ai Otsuka,
2048,Stairs,Rip Slyme,
2049,One Drop,Kat-tun,
2052,Crazy For You,Tanimura Nana,
2053,Loser,Yazawa Nagayoshi,
2054,Sleeping Beauty,Acid Black Cherry,
2055,Listen To Your Friends,New Found Glory,Alternative
2056,Flower Mirror,Shigotonin,
2059,Maybe She'll Cry,Morning Musume,
2061,Grand Finale,Breakerz,
2062,Cherry,Funky Monkey Babys,
2064,Eternal,Boa,
2065,Wao,Unicorn,J-Pop
2067,Place For Us,Chemistry,
2068,Promise,Kinki Kids,
2069,Milestones,GReeeeN,
2070,Run,Leona Lewis,Pop
2071,Rock Sakura,Cherryblossom,
2072,5 Rebbeccas,View,
2073,Kimi Likes,Lil'b,
2075,Change The World,Michi,
2076,Crescent,Round,
2078,Mukou,Sutereoponi,
2083,Matrix Koruteo,Salyu,
2084,"1,2,3 For 5",Gospellers,
2085,So Filled With Tenderness,JUJU,
2086,Hot N Cold,Katy Perry,Pop
2088,World Without Sound,My Little Lover,
2090,Dancing Queen,Mamma Mia,
2091,What I Love,Murasaki Shikibu,
2092,Chocolate Soul,Aya Matsuura,
2093,Velonica,Aqua Timez,J-Pop
2094,The Fear,Lily Allen,Pop
2095,Last Love Letter,Chattomonchi,
2096,Jack-jack Is The Sunday,Tsukishima Kirari,
2103,Heroine,Ryuichi Kawamura,
2106,Ghost,Gackt,
2107,Common Destiny,Dragon Ash,
2108,Goodbye,Rent Reasoning 58,
2109,Where,Kimura Kaera,
2110,Ulysses,Franz Ferdinand,Alternative
2112,Building Mania,Yoshii Kazuya,
2114,Empty String,Mucc,
2115,20 Cry,Kato Miriya,
2116,Before The Morning,Hiroshi Hata Motoe,
2124,Bolero,TVXQ,
2125,Questions,Nakamura Masaru,
2126,Rain Waltz,Motida Kaori,
2129,Touch Me,Mai Kuraki,
2131,Nocturne,Ayaka Hirahara,
2132,Still Much,Spontania,
2133,Fifteen Letters Of Greetings To You,Angela Aki,
2134,I Pretend,Mao Abe,
2135,Bud Of A Dream,Remioromen,
2139,Co No Mi Chi,Buono,
2142,Snow White,D,
2146,2 C Her Eyes,SID,
2147,Grief Tears,Intersex Locus,
2149,Kiseki,GReeeeN,J-Pop
2151,Beautiful Days,Storm,
2152,Hey! Hey! Alright,Kimura Kaera,
2153,Anata Magic,Monobright,Rock
2155,Bye,Sib-ri,
2156,Viva La Vida,Coldplay,Alternative
2160,Dachinouta,AAA,
2161,Galaxy,Buck-tick,
2166,Lightning,Sutoreitena,
2170,Ponyo On A Cliff,Fujioka,
2172,Marathon,Brass Knuckles Boy,
2173,Love Revolution,Takizawa Hideaki,
2174,Truth,Storm,
2175,Footsteps,Kobukuro,
2176,Circular Smile,Begin & Ahonasutazu,
2181,Love Mathematics,Base Ball Bear,Rock
2182,Lost Love,Kyunkyunaidoringu,
2187,Sense Of Shame,Sense Of Shame,
2189,Nihonnomikata,Yajima Beauty Salon,
2190,Santa Wimp,Sense Of Shame,
2191,Tonight Month,Pornograffitti,
2192,What I Have To Like You,TVXQ,
2193,I Can Be Free,JUJU,J-Pop
2194,I Don't Care,Fall Out Boy,Alternative
2195,One Love,Storm,
2206,White X'mas,Kat-tun,
2209,Green,Ayumi Hamasaki,
2210,Midnight Shadow Boy,Hey! Say! Jump,
2211,Stay With Me,Koda Kumi,
2213,Orion,Mika Nakashima,J-Pop
2216,Gift,Mr Children,
2219,Heaven,Buck-tick,
2223,Life In Technicolor,Coldplay,Alternative
2226,Friend,Rina Aiuchi,
2227,Are You A Criminal,Furifuriaidoringu,
2229,Door,GReeeeN,
2230,Last Cross,Masami Mitsuoka,J-Pop
2231,Closer,Joe Inoue,
2232,Dance,Justice,
2233,Romantic Whim,Some Went To Rent,
2234,Thanks In Large Daily Hate,Thelma Aoyama,
2235,Heart Of Winter,Masayoshi Yamazaki,
2237,I'll Be Near,Thelma Aoyama,
2241,Rainbow,Aqua Timez,
2242,60s 70s 80s,Namie Amuro,
2244,Hanabi,Mr Children,
2247,Hammerhead,Offspring,
2249,Heart Station,Utada Hikaru,
2250,I Am Your Singer,Southern All Stars,J-Pop
2251,Life,Kimaguren,
2252,The bullet-Fighter,Smap,
2253,Prisoner Of Love,Utada Hikaru,
2254,The Birthday(Ti Amo),Exile,
2255,Way Of Life,V6,
2256,Gamma Ray,Beck,Alternative
2260,Cross Game,Alice Nine,
2261,The Eternal Tomorrow,Deen,
2271,Paper Moon,Aki Maeda,
2272,Universal Mind Control,Common,Hip-Hop/Rap
2273,Love Lockdown,Kanye West,Hip-Hop/Rap
2274,Womanizer,Britney Spears,Pop
2275,Jesus,Gackt,
2279,Naked Love,Nightmare,
2285,Prototype,Akira Satoshi Ishikawa,
2287,Right Now (Na Na Na),Akon,R&B/Soul
2289,Last Christmas,Exile,
2290,Love,Miho Fukuhara,
2291,Ties Sunset,Dragon Ash,
2292,Thank You In Your Country,Kazuyoshi Saito,
2294,Chinese Democracy,Guns N' Roses,Rock
2295,Border (picture West),Mari Takenouti,
2296,Screen,Natsumi Abe,
2298,Can't Get Back,W-inds,
2300,24 Xmas Time,Mai Kuraki,
2301,Jigsaw,Acid Black Cherry,
2302,Hurry Xmas,L'Arc-en-Ciel,
2304,Forever Love,C-ute,
2305,Kanash A Permanent,Uverworld,
2307,If I Were A Boy,Beyonce Knowles,
2310,Relax,North Reeves,
2311,To Take You,Dreams Come True,
2313,Keeps Gettin' Better,Christina Aguilera,Dance
2314,Bakuso Dream Song,Diggy-mo,
2315,Comet Adventure,Kurumi Enomoto,
2318,Dream Fighter,Perfume,Electronic
2320,Escape,Girl Next Door,
2325,Occupation Idol,Idling,
2326,The Sky Of Tomorrow,Speed,
2330,First,Qing Yi Qing,
2331,Demon Sword Of Emperor,Ali Project,
2332,Human,Killers,
2333,In Today,Kazumasa Oda,
2334,17-year-old,Ginkgo Boyz,
2335,Nihonnomikata,Beauty Shop Yajima,
2336,Banchou Stylish,Orange Range,
2341,Leech,Gazette,
2343,Christmas Soon,Goda Mai,
2348,Seputenova,Gospellers,
2349,Rottara Rottara,Buono,
2350,Say Goodbye,Park Yong Ha,
2352,Trains And Winter Rains,Enya,Holiday
2355,Wakaba,Spitz,
2356,Of Protest,Thelma Aoyama,
2359,Shishikababu,Yuzu,
2362,Irresponsible Hero,Jani Seki,
2363,Winter Party,Breakerz,
2365,Stain,Chattomonchi,
2366,Madayade,Berryz Kobo,
2368,Almost-new Love New World,Fukuyama Masaharu,
2369,36 C,WaT,J-Pop
2370,Song Of Hope,Funky Monkey Babys,
2371,"Love, Love The Snow Sky",Chemistry,
2373,The Shock Of The Lightning,Oasis,Alternative
2374,Hana Hitohira Villa,Sutereoponi,
2375,Fujisawa Loser,Asian Kung-fu Generation,
2376,Blue Flowers,Color Bottle,
2382,Black And White Kiss,SID,
2383,Turn Tintin,Milkyway,
2386,The Red Thread,Yui Aragaki,
2388,Planetarium,Some Went To Rent,
2389,Someday,Lee Byung Hun,
2391,Mirotic,Shin Ki,
2392,Be Happy,Mihimaru Gt,
2393,You Have The Wind In One Day,Toshihide Baba,
2394,You And,Ayaka & Kobukuro,
2395,Beloved,Koh +,
2407,Diamond Loudly,AKB48,
2409,"A La Mode, Beautiful",Nakagawa Shoko,
2410,One Hundred Years Of Solitude,Garnet Crow,
2414,My Treasure,Shimizu,
2416,Promise,Michi,
2421,You And I,Ryu Si-won,
2424,7 Things,Miley Cyrus,Pop
2427,Good Good Day,Rag Fair,
2429,Happy Birthday,News,
2430,Continue,Seamo,
2431,When I Grow Up,Pussycat Dolls,
2432,Good Bye My Days,Rina Aiuchi,
2435,Taboo,Koda Kumi,
2436,"Love, Too Death, Too",Porno Graffitti,J-Pop
2443,Drive Away,Girl Next Door,
2445,They Spend The Summer,Aqua Timez,
2447,Little Prayer,Tokunaga Hideaki,
2448,Foebasongu,Hata Motohiro,
2450,Miss Independent,Ne-Yo,R&B/Soul
2451,Go Ahead,Mitsuhiro Oikawa,
2452,Uni-verse,Aska,
2453,Footprint,Bareen,
2454,Sayonara Beibe,Kato Miriya,
2455,Kimi Sang A Love Song,Lil'b,
2456,Wind Down,Storm,
2470,You Are Not Alone,John-hoon,
2471,World Dance,Breakerz,
2472,Light In Your Heart,V6,
2473,Kimi And To The New Season,Elephant Kashimashi,
2474,Mercy,Duffy,Pop
2475,Sun To Son,Tamio Okuda,
2476,I Love You,Glay,
2485,Body On Me,Nelly & Akon,
2487,Pepper Inspector,Morning Musume,
2491,Hiroshima,Ben Folds,
2493,Mustache,Kimura Kaela,
2494,Why Just Be Friends,JOE,
2495,M,Uverworld,
2503,Lost In Blue,Nightmare,
2509,Midnight Madness,Chemical Brothers,
2511,On My Way,Giovanca,
2513,How Do I Survive,Superfly,Rock
2514,Love Is Noise,Verve,
2516,Hey Heartless,Kazuyoshi Saito,
2520,Jellyfish,Ai Otsuka,
2526,Secret Code,Kinki Kids,
2529,Gift,AI,
2531,An Umbrella,Tokio,
2532,The Probability Of Coincidence,Girl Next Door,
2533,Konoyubitomare,Shikao Suga,
2536,Miss You,Yuna Ito,
2543,Nexus 4,L'arcenciel,
2548,Next Plane Home,Daniel Powter,Pop
2549,At This Moment,Smap,
2551,Love Drizzling,Shounan Nokaze,
2552,Music Traveler,Bennie K,
2555,Speed To Knife,Cro-magnons,
2556,A New Day,Every Little Thing,
2567,Music,AAA,
2568,20+century Boys,Acid Black Cherry,
2571,Hikari,Mai Hoshimura,
2572,Gift,Pornograffitti,
2573,Give You The World,Dey,
2575,Pathetic Sense Of,Pathetic Sense Of,
2576,It Is Too Much For You Alive,Moriyama Naotaro,
2584,You All,Spontania,
2587,Gachinko,Buono,
2589,Life Goes On,Chemistry,
2590,Farther,Remioromen,
2591,Eye Dream,Fukui Dance,
2593,Shut Up And Let Me Go,Ting Tings,
2595,The Sun Also Rises,Aladdin,
2596,World End,Flow,
2608,If I'm Not The One,Tanimura Nana,
2611,Your Seed,Hey! Say! Jump,
2612,Kisshug,Aiko,
2613,Bluebird,Progress Is Scarce,
2614,Ring,Bonnie Pink,
2615,Mental Health,Zebrahead,Alternative
2616,"Life,love & Laughter",Donavon Frankenreiter,
2623,Rainbows,Alice Nine,
2626,Shiny Gate,Cranberries,
2627,080808,Kome Kome Club,J-Pop
2635,The Sun And Bikinis,Rip Slyme,
2636,Message,Color Bottle,
2642,Can't Go Back,Primal Scream,Alternative
2646,Tsukihime,Toshihiko Takamizawa,
2647,Edo No Temari Uta Ii,C-ute,
2653,Confession,Funky Monkey Babys,
2654,Shh,Sense Of Shame,
2655,A Montage Of Summer,With Only,
2656,Superstar,Fireball,
2665,I Don't Know,Mica 3 Chu,
2667,Make My Day,Yui Aragaki,
2670,Behind Love,Park Yong Ha,
2671,Love The World,Perfume,Electronic
2672,We Love You,Jingzhi,
2674,Many Times,Thelma Aoyama,
2678,Why Do I Have To Like It,TVXQ,
2683,Love Is Sad To,Wise,
2686,I Have,John-hoon,
2691,Summer Song,Yui,
2694,Sunflower,Miho Fukuhara,
2695,Nail Nail Nail,Maximum The Hormone,
2703,Love For You,Mai Kuraki,
2704,Lorelei,Gospellers,
2707,Monkey Dance,Berryz Kobo,
2709,Star Line,Local Pick Up,
2711,Violet Hill,Coldplay,Alternative
2712,Love Addict,Vamps,
2715,Crying Summer,Mihimaru Gt,
2716,Great DJ,Ting Tings,
2723,Ouch Standing Position,Pornograffitti,
2725,Yesterday And Tomorrow,Yuzu,
2730,Aye-aye Umbrella,Tegomass,
2731,Merry-life-goes-round,Dreams Come True,J-Pop
2732,Strength In Numbers,Music,
2733,Love To Wind,Chatmonchy,
2735,Mother Mary,Foxboro Hot Tubs,
2736,Again,Boy-t,
2747,Paradiso,Tube,
2749,Morning-evening,Monkey Majik,
2752,Everyone Nose,N.e.r.d.,
2755,Cloudy Weather,Does,
2760,Moon,Koda Kumi,
2763,Verb,Glay,
2764,Just Break The Limit,Uverworld,
2765,Lucky Days,Ss501,
2766,Velvet Touch,Dragon Ash,
2772,Honey Honey,Seamo,
2773,Resonance,T.m.revolution,
2774,I Love You,Sunset Swish,
2775,Sky,Takuya Ohashi,
2776,Love In This Club,Usher & Young Jeezy,
2786,Koiuta,Tackey,
2791,Dreams Come True,Hey! Say! Jump,
2793,Wait For You,Elliott Yamin,
2794,Mourning Familiar Story,Kou Shibasaki,
2795,Namida Wo Todokete,Matsumoto Tortoise,
2796,Unchanging Love,Jyongri,
2805,88,Lm. C,
2807,Aishiteru,Shimizu,
2808,I'm Yours,Jason Mraz,Pop
2811,Vivid-kissing You,Boa,
2813,O2,Orange Range,J-Pop
2814,Miles Away,Madonna,Pop
2815,Measure Of Happiness,Mari Takenote,
2816,Kizuna,Hi-fi Camp,
2818,Butterfly,V6,
2823,Lay Up Under Me,Sean Garrett,
2828,Beyond,AAA,
2829,Don't U Ever Stop,Kat-tun,
2831,Promised Wing,Misia,
2832,New Animal,The Pillows,
2833,Dance,Micro,
2834,Summer Time,News,
2836,Rocket Sneakers/one X Time,Ai Otsuka,J-Pop
2847,Bleeding Love,Leona Lewis,Pop
2849,Eight Beat,Cro-magnons,
2851,Hi,Ayaka,
2852,A Rize,Kcb,
2853,Nobody Knows,Sugashikao,
2854,Set Your Heart,Cyndi Lauper,Pop
2855,Touch My Body,Mariah Carey,Pop
2856,Changes,Base Ball Bear,
2859,4 Minutes,Madonna & Justin Timberlake,
2864,I Only,Hiromi Township,
2868,Kiss! Kiss! Kiss!,Buono,
2871,Mother,Seamo,
2872,Year,Progress Is Scarce,
2873,Yes Forever,Misia,
2874,Amylase,Cajun Dance Party,Alternative
2875,To Be Around,Aoyama,
2876,Hero,Mihimaru Gt,
2880,No More,Sushi Rice,
2886,Burn-Fumetsu No Face,B'z ,
2887,Together,Monkey Majik,
2893,Anataboshi,Milkyway,
2894,Change,Miho Fukuhara,
2895,Also Came One Day Leave,Ken Hirai,
2896,Hi-five,Superfly,
2912,Fantastic World,WaT,
2913,"Kimi,meguru",Hata Motohiro,J-Pop
